Account Number,Account Name,Type,Subtype,Why it exists
1010,Operating bank,Asset,Bank,Day-to-day operating cash
1020,Payroll & tax reserve,Asset,Bank,Separate account so payroll and sales tax money is not spent by accident
1100,Accounts receivable,Asset,Accounts Receivable,Invoiced work not yet collected
1200,Inventory - parts stock,Asset,Other Current Asset,Shop and truck stock not yet consumed on a job
1300,Vehicles,Asset,Fixed Asset,"Capitalize trucks - expensing a $58,000 truck destroys the month and misstates every margin from it"
1310,Tools & equipment,Asset,Fixed Asset,Recovery machines lifts gauges and other durable equipment
1400,Accumulated depreciation,Asset,Fixed Asset,Contra-asset - required for Section 179 and bonus depreciation elections
2010,Accounts payable,Liability,Accounts Payable,Supply house and vendor invoices not yet paid
2020,Credit cards,Liability,Credit Card,Cards used for fuel parts and small purchases
2100,Equipment loans & vehicle notes,Liability,Long Term Liability,Financed trucks and equipment
2200,Payroll liabilities,Liability,Other Current Liability,Withheld taxes and benefits owed but not remitted
2300,Sales tax payable,Liability,Other Current Liability,Not your money - sits here until remitted
2400,Deferred agreement revenue,Liability,Other Current Liability,Maintenance agreements billed before the work is performed - confirm treatment with your CPA
3010,Owner's capital,Equity,Equity,Money put into the business
3020,Owner's draw,Equity,Equity,Money taken out - keep separate from wages
3900,Retained earnings,Equity,Equity,Accumulated prior-year profit
4010,Install revenue - residential,Income,Income,Equipment changeouts and new installs for homeowners
4020,Install revenue - commercial,Income,Income,Commercial installs if you do enough to matter
4030,Service & repair revenue,Income,Income,Diagnostic calls repairs and emergency work
4040,Maintenance agreement revenue,Income,Income,Recurring plan billings - your predictable baseline before the season starts
4050,Indoor air quality & accessories,Income,Income,Filtration humidifiers UV - often higher margin and worth watching separately
4060,Parts sales (over the counter),Income,Income,Parts sold without labor
4900,Other income,Income,Other Income,Rebates referral fees warranty reimbursements - not operating revenue
5010,Equipment,COGS,Cost of Goods Sold,"Condensers furnaces heat pumps air handlers - large traceable and deliberately marked up"
5020,Materials & supplies,COGS,Cost of Goods Sold,Line sets refrigerant fittings duct thermostats - separate from equipment so a supplier price rise does not look like field waste
5030,Direct labor - install,COGS,Cost of Goods Sold,Burdened tech cost on install work - wage plus payroll taxes comp and benefits (typically 1.3-1.4x base)
5040,Direct labor - service,COGS,Cost of Goods Sold,Burdened tech cost on service work - belongs in COGS not operating expenses or gross margin is meaningless
5050,Permits & inspections,COGS,Cost of Goods Sold,Directly attributable and routinely forgotten
5060,Subcontractors,COGS,Cost of Goods Sold,Crane work electrical duct cleaning
5070,Equipment rental,COGS,Cost of Goods Sold,Lifts and specialty tools rented per job
5080,Warranty & callback cost,COGS,Cost of Goods Sold,Return trips on work already invoiced - charge back to the original job or that job stays wrong forever
5090,Freight & delivery,COGS,Cost of Goods Sold,Supply house delivery and drop-ship equipment
6010,Vehicles - fuel,Expense,Expense,Fuel for the fleet
6020,Vehicles - maintenance & repairs,Expense,Expense,Service tires and repairs
6030,Vehicles - registration & insurance,Expense,Expense,Registration plates and vehicle insurance
6100,Insurance - general liability,Expense,Expense,GL coverage
6110,Insurance - workers' compensation,Expense,Expense,The portion not already loaded into burdened labor - do not double count
6120,Insurance - umbrella,Expense,Expense,Excess liability coverage
6200,Office rent & utilities,Expense,Expense,Shop and office occupancy cost
6210,Dispatch & office salaries,Expense,Expense,Non-billable staff - stays out of COGS
6220,Office supplies,Expense,Expense,General administrative supplies
6300,Software & technology,Expense,Expense,Jobber or Housecall Pro accounting software phone system
6400,Marketing & advertising,Expense,Expense,Ads truck wraps website review platforms
6500,Professional fees - CPA & legal,Expense,Expense,Tax preparation and legal counsel
6510,Professional fees - bookkeeping,Expense,Expense,Bookkeeping and controller services
6600,Licensing & continuing education,Expense,Expense,EPA certifications state licensing and training
6700,Bank fees,Expense,Expense,Account and transaction fees
6710,Merchant & financing fees,Expense,Expense,"Processor and consumer-financing dealer fees - several percent on large installs, so keep visible against the install line"
6800,Depreciation,Expense,Expense,Non-cash but it belongs on the P&L
